"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Jul-2023","EQ","504.60","505.00","496.00","504.90","500.75","500.60","500.60","517.55","336.50","3,822,759","1,913,679,811.35","43,751"
"20-Jul-2023","EQ","502.00","509.00","501.55","501.00","504.25","504.90","505.36","517.55","336.50","4,178,930","2,111,866,815.15","51,300"
"19-Jul-2023","EQ","496.50","504.20","494.15","494.80","502.25","501.00","501.15","517.55","336.50","2,832,711","1,419,607,791.85","43,139"
"18-Jul-2023","EQ","499.75","502.95","491.80","498.05","495.00","494.80","498.02","517.55","336.50","3,200,509","1,593,915,838.70","36,771"
"17-Jul-2023","EQ","493.50","498.60","493.05","493.15","498.05","498.05","496.31","517.55","336.50","2,333,926","1,158,339,448.05","32,297"
"14-Jul-2023","EQ","493.80","496.50","491.20","492.05","492.45","493.15","493.58","517.55","336.20","2,539,514","1,253,463,124.80","32,091"
"13-Jul-2023","EQ","494.00","498.90","489.40","492.40","493.80","492.05","494.68","517.55","336.20","3,665,726","1,813,353,407.15","49,016"
"12-Jul-2023","EQ","500.00","500.40","485.60","499.65","492.20","492.40","491.69","517.55","336.20","4,530,464","2,227,593,547.85","65,363"
"11-Jul-2023","EQ","502.00","504.75","498.10","501.55","499.00","499.65","501.11","517.55","336.20","3,011,396","1,509,048,649.30","33,767"
"10-Jul-2023","EQ","503.45","505.55","496.35","502.85","500.10","501.55","501.53","517.55","336.20","2,465,685","1,236,605,348.15","46,445"
"07-Jul-2023","EQ","514.70","516.40","501.45","513.60","502.00","502.85","507.13","517.55","321.05","3,938,391","1,997,290,708.20","59,921"
"06-Jul-2023","EQ","504.60","517.55","503.00","499.70","512.90","513.60","511.58","517.55","321.05","7,921,377","4,052,405,737.40","95,548"
"05-Jul-2023","EQ","489.80","503.75","488.50","489.80","503.75","499.70","495.40","508.75","321.05","2,846,706","1,410,248,280.15","33,965"
"04-Jul-2023","EQ","494.00","497.20","488.50","493.15","489.40","489.80","491.96","508.75","321.05","2,535,317","1,247,283,475.60","30,418"
"03-Jul-2023","EQ","493.00","498.00","486.40","490.55","493.90","493.15","492.95","508.75","321.05","2,820,027","1,390,131,302.25","43,603"
"30-Jun-2023","EQ","489.80","493.55","486.90","485.90","490.35","490.55","490.17","508.75","308.10","3,261,788","1,598,845,969.20","48,567"
"28-Jun-2023","EQ","485.90","488.00","483.60","483.85","486.30","485.90","485.66","508.75","308.10","2,383,384","1,157,509,784.05","39,642"
"27-Jun-2023","EQ","479.00","486.95","478.70","477.15","482.40","483.85","483.86","508.75","308.10","2,749,294","1,330,286,528.05","42,707"
"26-Jun-2023","EQ","477.10","478.00","469.70","477.70","476.55","477.15","474.19","508.75","308.10","2,333,475","1,106,519,270.70","42,713"
"23-Jun-2023","EQ","481.00","481.60","473.00","481.25","476.90","477.70","477.69","508.75","294.70","2,583,485","1,234,092,919.85","51,074"
"22-Jun-2023","EQ","483.05","484.80","478.55","482.85","480.00","481.25","481.26","508.75","294.70","3,256,065","1,567,007,383.90","47,135"